X_id,OFFENCE_YEAR,DIVISION,TICKET_TYPE,OFFENCE_CATEGORY,AGE_GROUP,HOOD_158,NEIGHBOURHOOD_158,TICKET_COUNT
1,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,12,Markland Wood,1
2,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,128,Agincourt South-Malvern West,1
3,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,130,Milliken,1
4,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,146,Malvern East,1
5,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,85,South Parkdale,1
6,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,124,Kennedy Park,1
7,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,158,Islington,1
8,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,27,York University Heights,1
9,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,5,Elms-Old Rexdale,1
10,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,161,Humber Bay Shores,1
11,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,68,North Riverdale,1
12,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,119,Wexford/Maryvale,1
13,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,146,Malvern East,1
14,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,18,New Toronto,1
15,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,123,Cliffcrest,1
16,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,27,York University Heights,1
17,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,146,Malvern East,1
18,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,120,Clairlea-Birchmount,1
19,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,156,Bendale-Glen Andrew,1
20,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,144,Morningside Heights,1
21,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,38,Lansing-Westgate,1
22,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,152,East Willowdale,1
23,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,29,Maple Leaf,1
24,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,155,Downsview,1
25,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,6,Kingsview Village-The Westway,1
26,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,22,Humbermede,1
27,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,159,Etobicoke City Centre,1
28,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,21,Humber Summit,1
29,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,163,Fort York-Liberty Village,1
30,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,142,Woburn North,1
31,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,160,Mimico-Queensway,1
32,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,48,Hillcrest Village,1
33,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,39,Bedford Park-Nortown,1
34,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,10,Princess-Rosethorn,1
35,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,2,Mount Olive-Silverstone-Jamestown,1
36,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,33,Clanton Park,1
37,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,33,Clanton Park,1
38,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,148,East L'Amoreaux,1
39,2021,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,47,Don Valley Village,1
40,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,48,Hillcrest Village,1
41,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,59,Danforth East York,1
42,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,116,Steeles,1
43,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,165,Harbourfront-CityPlace,1
44,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,32,Englemount-Lawrence,1
45,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,52,Bayview Village,1
46,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,116,Steeles,1
47,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,27,York University Heights,1
48,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,126,Dorset Park,1
49,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,66,Danforth,1
50,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,134,Highland Creek,1
51,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,159,Etobicoke City Centre,1
52,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,39,Bedford Park-Nortown,1
53,2023,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,125,Ionview,1
54,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,49,Bayview Woods-Steeles,1
55,2023,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,162,West Queen West,1
56,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,92,Corso Italia-Davenport,1
57,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,141,Golfdale-Cedarbrae-Woburn,1
58,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,146,Malvern East,1
59,2023,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,38,Lansing-Westgate,1
60,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,155,Downsview,1
61,2023,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,7,Willowridge-Martingrove-Richview,1
62,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,11,Eringate-Centennial-West Deane,1
63,2023,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,87,High Park-Swansea,1
64,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,15,Kingsway South,1
65,2023,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,65,Greenwood-Coxwell,1
66,2023,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,102,Forest Hill North,1
67,2023,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,133,Centennial Scarborough,1
68,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,9,Edenbridge-Humber Valley,1
69,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,102,Forest Hill North,1
70,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,53,Henry Farm,1
71,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,24,Black Creek,1
72,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,130,Milliken,1
73,2023,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,39,Bedford Park-Nortown,1
74,2023,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,97,Yonge-St.Clair,1
75,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,133,Centennial Scarborough,1
76,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,5,Elms-Old Rexdale,1
77,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,90,Junction Area,1
78,2023,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,118,Tam O'Shanter-Sullivan,1
79,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,124,Kennedy Park,1
80,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,143,West Rouge,1
81,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,146,Malvern East,1
82,2023,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,9,Edenbridge-Humber Valley,1
83,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,6,Kingsview Village-The Westway,1
84,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,46,Pleasant View,1
85,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,27,York University Heights,1
86,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,9,Edenbridge-Humber Valley,1
87,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,141,Golfdale-Cedarbrae-Woburn,1
88,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,136,West Hill,1
89,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,15,Kingsway South,1
90,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,52,Bayview Village,1
91,2023,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,5,Elms-Old Rexdale,1
92,2023,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,145,Malvern West,1
93,2023,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,5,Elms-Old Rexdale,1
94,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,134,Highland Creek,1
95,2023,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,161,Humber Bay Shores,1
96,2023,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,57,Broadview North,1
97,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,55,Thorncliffe Park,1
98,2023,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,8,Humber Heights-Westmount,1
99,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,73,Moss Park,1
